x1,y1,x2,y2,col
0,-11.092,0,1.573,"Black"
0,3.323,0,11.092,"Black"
0,11.092,3.037,13.5,"Blue"
3.037,13.5,50.963,13.5,"Black"
50.963,13.5,54,11.092,"Red"
54,11.092,54,-11.092,"Black"
54,-11.092,50.963,-13.5,"Red"
50.963,-13.5,3.037,-13.5,"Black"
3.037,-13.5,0,-11.092,"Blue"

30,13.5,30,-13.5,"Black"

11.667,-6.396,11.667,6.396,"Gray"
11.667,6.396,16.333,6.396,"Gray"
16.333,6.396,16.333,-6.396,"Gray"
16.333,-6.396,11.667,-6.396,"Gray"

16.333,6.396,17.417,6.396,"Orange"
17.417,6.396,17.417,5.313,"Orange"
17.417,5.313,16.333,5.313,"Orange"
16.333,5.313,16.333,6.396,"Orange"

16.333,4.054,17.417,4.054,"Orange"
17.417,4.054,17.417,2.971,"Orange"
17.417,2.971,16.333,2.971,"Orange"
16.333,2.971,16.333,4.054,"Orange"

16.333,1.713,17.417,1.713,"Orange"
17.417,1.713,17.417,0.629,"Orange"
17.417,0.629,16.333,0.629,"Orange"
16.333,0.629,16.333,1.713,"Orange"

16.333,-6.396,17.417,-6.396,"Orange"
17.417,-6.396,17.417,-5.313,"Orange"
17.417,-5.313,16.333,-5.313,"Orange"
16.333,-5.313,16.333,-6.396,"Orange"

16.333,-4.054,17.417,-4.054,"Orange"
17.417,-4.054,17.417,-2.971,"Orange"
17.417,-2.971,16.333,-2.971,"Orange"
16.333,-2.971,16.333,-4.054,"Orange"

16.333,-1.713,17.417,-1.713,"Orange"
17.417,-1.713,17.417,-0.629,"Orange"
17.417,-0.629,16.333,-0.629,"Orange"
16.333,-0.629,16.333,-1.713,"Orange"

16.029,-3.001,11.971,-3.001,"Purple"
11.971,-3.001,11.971,-6.031,"Purple"
11.971,-6.031,16.029,-6.031,"Purple"
16.029,-6.031,16.029,-3.001,"Purple"

16.029,3.001,11.971,3.001,"Purple"
11.971,3.001,11.971,6.031,"Purple"
11.971,6.031,16.029,6.031,"Purple"
16.029,6.031,16.029,3.001,"Purple"

8.423,-0.536,8.423,0.536,"Orange"
8.423,0.536,9.506,0.536,"Orange"
9.506,0.536,9.506,1.077,"Orange"
9.506,1.077,10.589,1.077,"Orange"
10.589,1.077,10.589,1.619,"Orange"
10.589,1.619,11.667,1.619,"Orange"

8.423,-0.536,9.506,-0.536,"Orange"
9.506,-0.536,9.506,-1.077,"Orange"
9.506,-1.077,10.589,-1.077,"Orange"
10.589,-1.077,10.589,-1.619,"Orange"
10.589,-1.619,11.667,-1.619,"Orange"

22.852,-4.333,22.852,4.333,"Red"
22.852,4.333,26.271,4.333,"Red"
22.852,-4.333,26.271,-4.333,"Red"

21.786,-5.399,21.786,5.399,"Red"
21.786,5.399,26.271,5.399,"Red"
26.271,5.399,26.271,-5.399,"Red"
26.271,-5.399,21.786,-5.399,"Red"

22.852,-4.333,21.786,-5.399,"Red"
22.852,4.333,21.786,5.399,"Red"

24.971,4.505,29.029,4.505,"Purple"
29.029,4.505,29.029,7.535,"Purple"
29.029,7.535,24.971,7.535,"Purple"
24.971,7.535,24.971,4.505,"Purple"

24.971,-4.505,29.029,-4.505,"Purple"
29.029,-4.505,29.029,-7.535,"Purple"
29.029,-7.535,24.971,-7.535,"Purple"
24.971,-7.535,24.971,-4.505,"Purple"
