110
5.952380952380953E-4,	0.023809523809523808,	0.47619047619047616,	0.05
0.0029761904761904747,	0.04761904761904759,	0.4761904761904756,	0.05
0.008333333333333318,	0.10714285714285686,	1.1904761904761854,	0.05
0.017857142857142818,	0.19047619047619,	1.6666666666666625,	0.05
0.03273809523809516,	0.2976190476190469,	2.142857142857138,	0.05
0.054166666666667355,	0.4285714285714438,	2.6190476190479384,	0.05
0.0833333333333352,	0.583333333333357,	3.095238095238264,	0.05
0.12083333333333673,	0.7500000000000306,	3.3333333333334725,	0.05
0.1666666666666719,	0.9166666666667036,	3.333333333333459,	0.05
0.2208333333333408,	1.0833333333333777,	3.3333333333334814,	0.05
0.28333333333334254,	1.2500000000000349,	3.333333333333144,	0.05
0.3541666666666542,	1.416666666666233,	3.3333333333239645,	0.05
0.4327380952380587,	1.5714285714280896,	3.0952380952371294,	0.05
0.5178571428570802,	1.7023809523804312,	2.6190476190468326,	0.05
0.6083333333332749,	1.8095238095238941,	2.142857142869259,	0.05
0.7029761904761687,	1.8928571428578755,	1.6666666666796282,	0.05
0.8005952380952541,	1.9523809523817093,	1.1904761904766747,	0.05
0.9000000000000545,	1.9880952380960082,	0.7142857142859782,	0.05
1.0000000000000933,	2.0000000000007767,	0.23809523809537048,	0.05
1.100000000000132,	2.0000000000007723,	-8.881784197001252E-14,	0.05
1.2000000000000668,	1.9999999999986962,	-4.1522341120980855E-11,	0.05
1.299999999999967,	1.9999999999980034,	-1.3855583347321954E-11,	0.05
1.3999999999998667,	1.9999999999979945,	-1.7763568394002505E-13,	0.05
1.4999999999997669,	1.9999999999980034,	1.7763568394002505E-13,	0.05
1.5999999999996672,	1.9999999999980078,	8.881784197001252E-14,	0.05
1.6999999999995672,	1.999999999997999,	-1.7763568394002505E-13,	0.05
1.7999999999994674,	1.9999999999980034,	8.881784197001252E-14,	0.05
1.899999999999367,	1.9999999999979945,	-1.7763568394002505E-13,	0.05
1.999999999999267,	1.999999999997999,	8.881784197001252E-14,	0.05
2.0999999999991674,	1.9999999999980034,	8.881784197001252E-14,	0.05
2.1999999999990676,	1.9999999999980034,	0.0,	0.05
2.2999999999989678,	1.9999999999980034,	0.0,	0.05
2.399999999998868,	1.9999999999980034,	0.0,	0.05
2.499999999998768,	1.9999999999980034,	0.0,	0.05
2.599999999998668,	1.9999999999979945,	-1.7763568394002505E-13,	0.05
2.6999999999985675,	1.9999999999979945,	0.0,	0.05
2.7999999999984677,	1.9999999999980034,	1.7763568394002505E-13,	0.05
2.899999999998368,	1.9999999999980034,	0.0,	0.05
2.999999999998268,	1.9999999999980034,	0.0,	0.05
3.0999999999981687,	1.9999999999980123,	1.7763568394002505E-13,	0.05
3.1999999999980684,	1.9999999999979945,	-3.552713678800501E-13,	0.05
3.2999999999979686,	1.9999999999980034,	1.7763568394002505E-13,	0.05
3.3999999999978687,	1.9999999999980034,	0.0,	0.05
3.4999999999977685,	1.9999999999979945,	-1.7763568394002505E-13,	0.05
3.5999999999976686,	1.9999999999980034,	1.7763568394002505E-13,	0.05
3.6999999999975683,	1.9999999999979945,	-1.7763568394002505E-13,	0.05
3.7999999999974685,	1.9999999999980034,	1.7763568394002505E-13,	0.05
3.8999999999973687,	1.9999999999980034,	0.0,	0.05
3.9999999999972684,	1.9999999999979945,	-1.7763568394002505E-13,	0.05
4.099999999997168,	1.9999999999979945,	0.0,	0.05
4.199999999997068,	1.9999999999980034,	1.7763568394002505E-13,	0.05
4.299999999996968,	1.9999999999979856,	-3.552713678800501E-13,	0.05
4.399999999996867,	1.9999999999979856,	0.0,	0.05
4.499999999996767,	1.9999999999980034,	3.552713678800501E-13,	0.05
4.599999999997221,	2.000000000009088,	2.2168933355715126E-10,	0.05
4.699999999997677,	2.0000000000091056,	3.552713678800501E-13,	0.05
4.799999999998131,	2.000000000009088,	-3.552713678800501E-13,	0.05
4.899999999998586,	2.0000000000091056,	3.552713678800501E-13,	0.05
4.999999999999041,	2.000000000009088,	-3.552713678800501E-13,	0.05
5.099999999999496,	2.0000000000091056,	3.552713678800501E-13,	0.05
5.19999999999995,	2.000000000009088,	-3.552713678800501E-13,	0.05
5.300000000000404,	2.00000000000907,	-3.552713678800501E-13,	0.05
5.40000000000086,	2.0000000000091234,	1.0658141036401503E-12,	0.05
5.5000000000013145,	2.000000000009088,	-7.105427357601002E-13,	0.05
5.600000000001769,	2.000000000009088,	0.0,	0.05
5.700000000002223,	2.000000000009088,	0.0,	0.05
5.800000000002679,	2.0000000000091056,	3.552713678800501E-13,	0.05
5.900000000003133,	2.000000000009088,	-3.552713678800501E-13,	0.05
6.000000000003588,	2.0000000000091056,	3.552713678800501E-13,	0.05
6.100000000004043,	2.000000000009088,	-3.552713678800501E-13,	0.05
6.200000000004498,	2.0000000000091056,	3.552713678800501E-13,	0.05
6.300000000004952,	2.000000000009088,	-3.552713678800501E-13,	0.05
6.400000000005408,	2.0000000000091056,	3.552713678800501E-13,	0.05
6.500000000005862,	2.000000000009088,	-3.552713678800501E-13,	0.05
6.600000000006317,	2.0000000000091056,	3.552713678800501E-13,	0.05
6.700000000006772,	2.000000000009088,	-3.552713678800501E-13,	0.05
6.800000000007227,	2.0000000000091056,	3.552713678800501E-13,	0.05
6.900000000007681,	2.000000000009088,	-3.552713678800501E-13,	0.05
7.000000000008135,	2.00000000000907,	-3.552713678800501E-13,	0.05
7.10000000000859,	2.0000000000091056,	7.105427357601002E-13,	0.05
7.200000000009045,	2.0000000000091056,	0.0,	0.05
7.3000000000095,	2.000000000009088,	-3.552713678800501E-13,	0.05
7.400000000009954,	2.000000000009088,	0.0,	0.05
7.5000000000104095,	2.0000000000091056,	3.552713678800501E-13,	0.05
7.600000000010864,	2.000000000009088,	-3.552713678800501E-13,	0.05
7.700000000011319,	2.0000000000091056,	3.552713678800501E-13,	0.05
7.8000000000117735,	2.000000000009088,	-3.552713678800501E-13,	0.05
7.900000000012229,	2.0000000000091056,	3.552713678800501E-13,	0.05
8.000000000012683,	2.000000000009088,	-3.552713678800501E-13,	0.05
8.100000000013138,	2.000000000009088,	0.0,	0.05
8.199405297632534,	1.988105952387933,	-0.23788095242309737,	0.05
8.297025952394577,	1.952413095240857,	-0.7138571429415208,	0.05
8.391671488108779,	1.8929107142840351,	-1.1900476191364362,	0.05
8.482151428584663,	1.8095988095176807,	-1.6662380953270883,	0.05
8.567275297631745,	1.7024773809416516,	-2.1424285715205826,	0.05
8.645852619059546,	1.5715464285560188,	-2.618619047712656,	0.05
8.716692916677582,	1.4168059523607113,	-3.09480952390615,	0.05
8.77920041667643,	1.250149999976955,	-3.333119047675126,	0.05
8.833374583341906,	1.0834833333095162,	-3.333333333348776,	0.05
8.87921541667401,	0.9168166666420774,	-3.333333333348776,	0.05
8.916722916672743,	0.7501499999746741,	-3.3333333333480653,	0.05
8.945897083338107,	0.5834833333072709,	-3.3333333333480653,	0.05
8.967332619051156,	0.42871071426098695,	-3.0954523809256784,	0.05
8.98221946428819,	0.29773690474069525,	-2.619476190405834,	0.05
8.991748095239691,	0.19057261903000722,	-2.1432857142137607,	0.05
8.997108988096139,	0.10721785712895837,	-1.667095238020977,	0.05
8.99949261904802,	0.04767261903761977,	-1.190904761826772,	0.05
9.000089464285807,	0.011936904755742717,	-0.714714285637541,	0.05
9.00008999999999,	1.071428364696203E-5,	-0.2385238094419151,	0.05
9.00008999999999,	0.0,	-2.142856729392406E-4,	0.05
